Referencia,perfil,genero,jornada,equipo,ubicacion,nivel_estudios,estado_civil,edad,antiguedad_empresa,grupo_profesional,salario_mensual,departamento,distancia_trabajo_km,promociones,satisfaccion,salario_anual,impacto_abandono,scoring_abandono
TRB-0000002,1,1,1,SEVILLA,1,1,CASADO,46,25,6,3617,DIRECCION,10,3,4,43404,8680.800000000001,0.003458321
TRB-0000005,0,0,1,SEVILLA,1,4,CASADO,48,10,5,2562,RESPONSABLE DE AREA,14,2,2,30744,6148.8,0.0
TRB-0000007,1,0,1,ADMINISTRACION,1,4,CASADO,50,24,6,3605,DIRECCION,6,3,3,43260,8652.0,0.0021695495
TRB-0000008,1,0,1,ORIENTE MEDIO,0,3,SOLTERO/A,50,24,6,3696,DIRECCION,8,3,3,44352,8870.4,0.012614846
TRB-0000009,1,0,1,MADRID,1,4,SOLTERO/A,48,24,6,3228,REFERENTES,9,3,3,38736,7747.200000000001,0.008244395
TRB-0000010,1,0,1,MADRID,1,3,SOLTERO/A,57,26,8,4528,COORDINADORA GENERAL,9,4,4,54336,10867.2,0.0073749423
TRB-0000012,1,1,1,SANTIAGO DE COMPOSTELA,1,4,SOLTERO/A,45,20,6,3496,DIRECCION,8,3,3,41952,8390.4,0.01250571
TRB-0000013,1,0,1,GIJON,1,3,SOLTERO/A,44,20,6,3496,DIRECCION,8,3,4,41952,8390.4,0.00902307
TRB-0000014,1,0,1,BARCELONA,1,4,SOLTERO/A,49,19,6,3586,DIRECCION,6,3,3,43032,8606.4,0.0069999695
TRB-0000015,1,0,1,VALENCIA,1,3,CASADO,46,24,6,3238,REFERENTES,7,3,3,38856,7771.200000000001,0.0021147132
TRB-0000016,1,0,1,SENEGAL,0,1,CASADO,46,21,5,2746,REFERENTES,9,3,4,32952,6590.400000000001,0.002732873
TRB-0000018,1,0,1,ZARAGOZA,1,4,CASADO,40,17,6,2937,REFERENTES,9,3,3,35244,7048.8,0.0013508201
TRB-0000019,0,1,1,ADMINISTRACION,1,3,CASADO,57,15,4,2445,ADMINISTRACION,19,2,1,29340,5868.0,0.0
TRB-0000020,1,0,1,MERIDA,1,4,SOLTERO/A,49,19,5,2701,REFERENTES,9,2,3,32412,6482.400000000001,0.008244395
TRB-0000021,1,0,1,REPUBLICA DOMINICANA,1,4,SOLTERO/A,46,16,4,2648,TECNICAS,8,1,3,31776,6355.200000000001,0.01290971
TRB-0000022,1,0,1,MAGREB,0,4,SOLTERO/A,44,15,6,3126,REFERENTES,1,3,4,37512,7502.400000000001,0.0029500723
TRB-0000023,1,0,1,SEVILLA,1,4,SOLTERO/A,39,13,6,3090,REFERENTES,9,3,3,37080,7416.0,0.004904866
TRB-0000024,0,1,1,SENEGAL,0,3,SOLTERO/A,48,8,4,2445,TECNICAS,18,1,2,29340,5868.0,0.0
TRB-0000025,1,0,1,SENEGAL,0,4,SOLTERO/A,41,11,4,2675,TECNICAS,8,2,3,32100,6420.0,0.00527066
TRB-0000026,1,0,1,MAGREB,0,4,CASADO,42,11,5,2831,REFERENTES,8,2,2,33972,6794.400000000001,0.052940488
TRB-0000027,1,1,1,EL SALVADOR,0,4,SOLTERO/A,54,10,4,2675,TECNICAS,11,1,4,32100,6420.0,0.0026822686
TRB-0000029,0,0,1,EUSKADI,1,4,SOLTERO/A,43,6,4,2445,TECNICAS,11,1,1,29340,5868.0,0.0
TRB-0000030,0,1,0,SANTANDER,1,3,SOLTERO/A,34,5,3,2195,TECNICAS,5,1,1,26340,5268.0,0.0
TRB-0000031,1,1,0,ADMINISTRACION,1,3,SOLTERO/A,32,7,4,2498,ADMINISTRACION,11,2,2,29976,5995.200000000001,0.0109990835
TRB-0000032,1,0,1,VALENCIA,1,4,SOLTERO/A,40,9,4,2809,REFERENTES,7,2,3,33708,6741.6,0.0011436939
TRB-0000033,1,0,1,VALENCIA,1,4,SOLTERO/A,42,7,4,2498,TECNICAS,10,2,3,29976,5995.200000000001,0.015996873
TRB-0000034,1,0,1,EUSKADI,1,4,CASADO,41,9,5,3007,REFERENTES,13,2,3,36084,7216.8,0.00080126524
TRB-0000035,0,0,1,MERIDA,1,2,SOLTERO/A,52,4,3,2195,TECNICAS,8,1,2,26340,5268.0,0.0
TRB-0000036,0,1,1,BARCELONA,1,4,SOLTERO/A,33,3,5,2562,TECNICAS,17,2,3,30744,6148.8,0.0
TRB-0000037,0,0,1,SENEGAL,1,4,SOLTERO/A,39,3,2,2012,TECNICAS,6,1,3,24144,4828.8,0.0
TRB-0000038,0,1,1,ORIENTE MEDIO,0,3,CASADO,53,0,2,2012,TECNICAS,16,0,3,24144,4828.8,0.0
TRB-0000039,1,0,1,BARCELONA,1,3,SOLTERO/A,34,9,4,2684,REFERENTES,9,2,4,32208,6441.6,0.0045597553
TRB-0000040,0,0,1,SENEGAL,0,3,SOLTERO/A,40,2,2,2012,TECNICAS,10,2,1,24144,4828.8,0.0
TRB-0000041,0,0,1,SEVILLA,1,4,SOLTERO/A,40,4,4,2445,TECNICAS,15,2,3,29340,5868.0,0.0
TRB-0000042,0,1,1,BARCELONA,1,3,SOLTERO/A,32,5,4,2445,TECNICAS,18,2,2,29340,5868.0,0.0
TRB-0000043,1,0,0,SEVILLA,1,0,SOLTERO/A,48,7,0,216,LIMPIEZA,7,0,2,2592,518.4,0.11793828
TRB-0000044,0,1,1,BARCELONA,1,3,SOLTERO/A,30,1,1,1930,TECNICAS,10,0,2,23160,4632.0,0.0
TRB-0000045,0,0,1,BARCELONA,1,4,SOLTERO/A,32,0,1,1930,TECNICAS,19,0,2,23160,4632.0,0.0
TRB-0000046,1,1,1,REPUBLICA DOMINICANA,0,3,SOLTERO/A,42,8,6,2916,REFERENTES,5,3,3,34992,6998.400000000001,0.0022447705
TRB-0000047,0,1,1,UNION EUROPEA,0,3,SOLTERO/A,38,4,5,2562,RESPONSABLE DE AREA,5,2,2,30744,6148.8,0.0
TRB-0000048,1,0,1,REPUBLICA DOMINICANA,0,3,SOLTERO/A,33,8,4,2675,TECNICAS,6,2,3,32100,6420.0,0.0016432405
TRB-0000049,1,1,1,SANTANDER,1,4,SOLTERO/A,47,7,5,2701,REFERENTES,9,3,3,32412,6482.400000000001,0.008244395
TRB-0000050,0,0,1,SEVILLA,1,4,SOLTERO/A,41,1,1,1930,TECNICAS,18,0,2,23160,4632.0,0.0
TRB-0000051,0,1,1,SEVILLA,1,3,SOLTERO/A,39,2,3,2195,TECNICAS,11,2,2,26340,5268.0,0.0
TRB-0000052,0,0,1,EUSKADI,1,4,SOLTERO/A,32,1,2,2012,TECNICAS,17,1,2,24144,4828.8,0.0
TRB-0000053,1,1,1,EUSKADI,1,4,CASADO,40,7,5,2917,REFERENTES,9,3,3,35004,7000.8,0.00047540665
TRB-0000054,0,0,1,EL SALVADOR,0,4,SOLTERO/A,36,6,4,2445,TECNICAS,8,2,2,29340,5868.0,0.0
TRB-0000055,0,1,1,ORIENTE MEDIO,0,4,SOLTERO/A,34,5,3,2195,TECNICAS,19,1,1,26340,5268.0,0.0
TRB-0000056,0,0,1,MAGREB,0,4,SOLTERO/A,33,1,3,2195,TECNICAS,6,1,2,26340,5268.0,0.0
TRB-0000057,0,0,1,PALMA DE MALLORCA,1,3,SOLTERO/A,37,1,2,2012,TECNICAS,20,1,2,24144,4828.8,0.0
TRB-0000058,0,0,1,MADRID,1,3,SOLTERO/A,32,3,2,2012,TECNICAS,17,1,2,24144,4828.8,0.0
TRB-0000059,0,0,1,VALENCIA,1,4,SOLTERO/A,46,0,4,2445,TECNICAS,6,0,2,29340,5868.0,0.0
TRB-0000060,0,0,1,PAMPLONA,1,3,SOLTERO/A,31,2,2,2012,TECNICAS,19,2,2,24144,4828.8,0.0
TRB-0000061,0,0,1,MAGREB,0,3,SOLTERO/A,34,0,3,2195,TECNICAS,5,1,2,26340,5268.0,0.0
TRB-0000062,1,0,0,MADRID,1,1,SOLTERO/A,58,6,0,108,LIMPIEZA,7,0,4,1296,259.2,0.06206274
TRB-0000063,0,0,1,GIJON,1,4,CASADO,52,0,3,2195,TECNICAS,14,0,3,26340,5268.0,0.0
TRB-0000064,0,0,1,VALENCIA,1,5,SOLTERO/A,53,1,2,2012,TECNICAS,19,1,2,24144,4828.8,0.0
TRB-0000065,1,0,1,VALENCIA,1,4,SOLTERO/A,34,7,4,2584,TECNICAS,5,2,3,31008,6201.6,0.0016432405
TRB-0000066,0,0,1,ZARAGOZA,1,4,SOLTERO/A,37,6,4,2445,TECNICAS,19,2,2,29340,5868.0,0.0
TRB-0000067,0,0,1,MALAGA,1,4,SOLTERO/A,34,1,2,2012,TECNICAS,13,1,2,24144,4828.8,0.0
TRB-0000068,0,0,1,EL SALVADOR,0,4,SOLTERO/A,34,1,2,2012,TECNICAS,9,0,1,24144,4828.8,0.0
TRB-0000069,0,0,1,MAGREB,0,3,CASADO,33,5,3,2195,TECNICAS,5,2,3,26340,5268.0,0.0
TRB-0000071,0,1,1,SEVILLA,1,4,SOLTERO/A,41,2,2,2012,TECNICAS,8,1,3,24144,4828.8,0.0
TRB-0000075,1,1,1,EUSKADI,1,4,SOLTERO/A,33,5,4,2445,TECNICAS,8,2,3,29340,5868.0,0.09655529
TRB-0000076,0,1,1,GIJON,1,3,CASADO,42,1,3,2195,TECNICAS,12,1,2,26340,5268.0,0.0
TRB-0000077,1,1,1,EL SALVADOR,0,1,CASADO,48,18,6,3132,REFERENTES,8,3,4,37584,7516.8,0.002546966
TRB-0000078,0,1,1,BARCELONA,1,4,SOLTERO/A,64,0,4,2445,TECNICAS,16,0,2,29340,5868.0,0.0
TRB-0000079,0,0,1,BARCELONA,1,4,SOLTERO/A,58,3,4,2445,TECNICAS,10,0,2,29340,5868.0,0.0
TRB-0000080,1,0,1,REPUBLICA DOMINICANA,0,4,CASADO,49,9,5,2827,REFERENTES,17,2,4,33924,6784.8,0.022612989
TRB-0000082,1,0,1,MAGREB,0,4,CASADO,45,6,5,2776,REFERENTES,12,3,3,33312,6662.400000000001,0.0047585964
TRB-0000083,0,0,1,VALENCIA,1,4,SOLTERO/A,31,2,2,2012,TECNICAS,20,1,2,24144,4828.8,0.0
TRB-0000084,1,0,1,SEVILLA,1,4,SOLTERO/A,47,6,6,2916,REFERENTES,20,3,3,34992,6998.400000000001,0.20537919
TRB-0000085,0,0,1,MADRID,1,4,SOLTERO/A,36,0,3,2195,TECNICAS,13,0,2,26340,5268.0,0.0
TRB-0000086,0,0,1,ORIENTE MEDIO,0,2,SOLTERO/A,47,1,3,2195,TECNICAS,18,2,2,26340,5268.0,0.0
TRB-0000087,0,0,1,SEVILLA,1,3,SOLTERO/A,42,0,1,1930,TECNICAS,12,0,3,23160,4632.0,0.0
TRB-0000088,0,1,0,SEVILLA,1,2,CASADO,43,1,2,2012,TECNICAS,17,1,3,24144,4828.8,0.0
TRB-0000089,1,0,1,CADIZ,1,3,SOLTERO/A,41,6,4,2573,TECNICAS,14,3,4,30876,6175.200000000001,0.0045337677
TRB-0000090,0,0,1,MERIDA,1,4,SOLTERO/A,47,3,2,2012,TECNICAS,8,1,4,24144,4828.8,0.0
TRB-0000091,0,0,1,ORIENTE MEDIO,0,4,SOLTERO/A,33,5,4,2445,REFERENTES,10,2,2,29340,5868.0,0.0
TRB-0000092,1,0,1,CADIZ,1,3,SOLTERO/A,43,6,4,2584,TECNICAS,6,3,4,31008,6201.6,0.0029690266
TRB-0000093,0,1,1,PAMPLONA,1,4,SOLTERO/A,42,1,1,1930,TECNICAS,15,1,3,23160,4632.0,0.0
TRB-0000094,0,1,1,MADRID,1,3,SOLTERO/A,45,0,2,2012,TECNICAS,9,0,1,24144,4828.8,0.0
TRB-0000095,0,0,1,REPUBLICA DOMINICANA,0,4,SOLTERO/A,33,0,2,2012,TECNICAS,14,0,3,24144,4828.8,0.0
TRB-0000096,0,0,1,EL SALVADOR,0,4,SOLTERO/A,36,0,3,2195,TECNICAS,16,0,2,26340,5268.0,0.0
TRB-0000097,0,0,1,REPUBLICA DOMINICANA,0,3,SOLTERO/A,42,0,4,2445,TECNICAS,7,1,2,29340,5868.0,0.0
TRB-0000098,0,1,1,BARCELONA,1,3,SOLTERO/A,32,0,3,2195,TECNICAS,7,1,3,26340,5268.0,0.0
TRB-0000099,0,0,1,PAMPLONA,1,3,SOLTERO/A,30,3,3,2195,TECNICAS,19,0,3,26340,5268.0,0.0
TRB-0000100,1,1,1,EL SALVADOR,0,4,CASADO,55,6,5,2792,TECNICAS,11,1,2,33504,6700.8,0.07039994
TRB-0000101,0,1,1,SEVILLA,1,4,SOLTERO/A,41,2,2,2012,TECNICAS,6,1,3,24144,4828.8,0.0
TRB-0000102,0,0,0,MERIDA,1,3,SOLTERO/A,41,0,2,2012,TECNICAS,15,0,2,24144,4828.8,0.0
TRB-0000103,0,0,1,MAGREB,0,4,SOLTERO/A,41,0,4,2445,TECNICAS,14,0,2,29340,5868.0,0.0
TRB-0000104,0,1,1,MADRID,1,4,SOLTERO/A,36,1,2,2012,TECNICAS,8,0,2,24144,4828.8,0.0
TRB-0000105,0,0,1,BARCELONA,1,5,SOLTERO/A,47,0,1,1930,TECNICAS,5,1,3,23160,4632.0,0.0
TRB-0000106,1,0,0,NIGER,0,4,CASADO,42,6,5,2657,REFERENTES,5,3,3,31884,6376.8,0.0021170974
TRB-0000107,0,0,1,INNOVACION Y ESS,1,3,SOLTERO/A,46,2,4,2445,TECNICAS,8,0,3,29340,5868.0,0.0
TRB-0000108,0,0,1,INNOVACION Y ESS,1,4,DIVORCIADO/A LEGALMENTE,56,1,6,2782,REFERENTES,15,3,2,33384,6676.8,0.0
TRB-0000109,0,0,1,INNOVACION Y ESS,1,3,CASADO,53,0,4,2445,TECNICAS,16,0,2,29340,5868.0,0.0
TRB-0000110,0,0,1,VALLADOLID,1,3,SOLTERO/A,33,0,2,2012,TECNICAS,7,0,2,24144,4828.8,0.0
TRB-0000111,0,0,1,EUSKADI,1,4,SOLTERO/A,33,0,2,2012,TECNICAS,12,0,3,24144,4828.8,0.0
TRB-0000112,0,1,1,SENEGAL,0,3,CASADO,62,0,4,2445,TECNICAS,5,0,3,29340,5868.0,0.0
TRB-0000113,1,0,1,MAGREB,0,4,SOLTERO/A,48,5,4,2652,TECNICAS,6,0,3,31824,6364.8,0.005051136
TRB-0000115,0,0,1,MAGREB,0,4,SOLTERO/A,37,0,2,2012,TECNICAS,18,0,4,24144,4828.8,0.0
TRB-0000116,0,0,0,SANTANDER,1,4,CASADO,58,0,2,2012,TECNICAS,8,0,3,24144,4828.8,0.0
TRB-0000117,1,0,1,GIJON,1,2,SOLTERO/A,35,5,3,2316,TECNICAS,12,2,3,27792,5558.400000000001,0.12740785
TRB-0000119,1,0,1,VALENCIA,1,4,CASADO,37,3,4,2573,TECNICAS,16,2,4,30876,6175.200000000001,0.007233739
TRB-0000120,1,0,1,SANTIAGO DE COMPOSTELA,1,4,SOLTERO/A,36,5,3,2327,TECNICAS,13,1,4,27924,5584.8,0.013528764
TRB-0000121,0,0,0,SEVILLA,1,0,SOLTERO/A,55,2,1,1930,TECNICAS,20,0,2,23160,4632.0,0.0
TRB-0000122,0,0,1,BARCELONA,1,2,DIVORCIADO/A LEGALMENTE,58,2,4,2445,TECNICAS,18,1,1,29340,5868.0,0.0
TRB-0000123,0,0,1,MALAGA,1,3,SOLTERO/A,44,1,2,2012,TECNICAS,10,1,3,24144,4828.8,0.0
TRB-0000124,0,0,1,BARCELONA,1,2,SOLTERO/A,29,0,1,1930,TECNICAS,11,0,3,23160,4632.0,0.0
