Referencia,Perfil,Género,Jornada laboral,Equipo,Ubicación,Nivel Estudios,Estado Civil,Fecha Nacimiento,Edad,Antigüedad,Fecha Fin,Años en Empresa,Grupo Profesional,Salario mensual,Categoria,Distancia al trabajo (KM),Promociones,Nivel de satisfacción
TRB-0000002,Activo,Hombre,COMPLETA,SEVILLA,ESPAÑA,Bachillerato,CASADO,08/01/1979,46,01/06/2000,,25,GRUPO 1 (CTD),3617,DIRECCION,10,3,4
TRB-0000005,No activo,Mujer,COMPLETA,SEVILLA,ESPAÑA,Máster,CASADO,04/09/1977,48,14/02/2011,02/02/2022,10,GRUPO 2.1 (R),2562,RESPONSABLE DE AREA,14,2,2
TRB-0000007,Activo,Mujer,COMPLETA,ADMINISTRACION,ESPAÑA,Máster,CASADO,02/11/1975,50,01/10/2001,,24,GRUPO 1 (ADRREE),3605,DIRECCION,6,3,3
TRB-0000008,Activo,Mujer,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Grado Universitario,SOLTERO/A,07/03/1975,50,24/04/2001,,24,GRUPO 1 (CTD),3696,DIRECCION,8,3,3
TRB-0000009,Activo,Mujer,COMPLETA,MADRID,ESPAÑA,Máster,SOLTERO/A,20/09/1977,48,24/01/2001,,24,GRUPO 1 (R),3228,REFERENTES,9,3,3
TRB-0000010,Activo,Mujer,COMPLETA,MADRID,ESPAÑA,Grado Universitario,SOLTERO/A,18/11/1968,57,01/02/1999,,26,GRUPO 0 (CG),4528,COORDINADORA GENERAL,9,4,4
TRB-0000011,Activo,Mujer,COMPLETA,NIGER,EXPATRIADO,Grado Universitario,SOLTERO/A,23/01/1975,50,10/01/2006,,19,GRUPO 1 (AD),3507,DIRECCION,12,3,3
TRB-0000012,Activo,Hombre,COMPLETA,SANTIAGO DE COMPOSTELA,ESPAÑA,Máster,SOLTERO/A,12/04/1980,45,20/04/2005,,20,GRUPO 1 (CTD),3496,DIRECCION,8,3,3
TRB-0000013,Activo,Mujer,COMPLETA,GIJON,ESPAÑA,Grado Universitario,SOLTERO/A,16/03/1981,44,25/01/2005,,20,GRUPO 1 (CTD),3496,DIRECCION,8,3,4
TRB-0000014,Activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Máster,SOLTERO/A,05/02/1976,49,01/01/2006,,19,GRUPO 1 (CTD),3586,DIRECCION,6,3,3
TRB-0000015,Activo,Mujer,COMPLETA,VALENCIA,ESPAÑA,Grado Universitario,CASADO,22/04/1979,46,01/10/2001,,24,GRUPO 1 (R),3238,REFERENTES,7,3,3
TRB-0000016,Activo,Mujer,COMPLETA,SENEGAL,EXPATRIADO,Bachillerato,CASADO,22/11/1979,46,28/10/2004,,21,GRUPO 2.1 (R),2746,REFERENTES,9,3,4
TRB-0000018,Activo,Mujer,COMPLETA,ZARAGOZA,ESPAÑA,Máster,CASADO,09/12/1985,40,14/04/2008,,17,GRUPO 1 (R),2937,REFERENTES,9,3,3
TRB-0000019,No activo,Hombre,COMPLETA,ADMINISTRACION,ESPAÑA,Grado Universitario,CASADO,02/02/1968,57,13/10/2008,30/07/2024,15,GRUPO 2.2,2445,ADMINISTRACION,19,2,1
TRB-0000020,Activo,Mujer,COMPLETA,MERIDA,ESPAÑA,Máster,SOLTERO/A,18/05/1976,49,16/01/2006,,19,GRUPO 2.1 (R),2701,REFERENTES,9,2,3
TRB-0000021,Activo,Mujer,COMPLETA,REPUBLICA DOMINICANA,ESPAÑA,Máster,SOLTERO/A,01/11/1979,46,01/08/2009,,16,GRUPO 2.2,2648,TECNICAS,8,1,3
TRB-0000022,Activo,Mujer,COMPLETA,MAGREB,EXPATRIADO,Máster,SOLTERO/A,11/12/1981,44,20/03/2010,,15,GRUPO 1 (R),3126,REFERENTES,1,3,4
TRB-0000023,Activo,Mujer,COMPLETA,SEVILLA,ESPAÑA,Máster,SOLTERO/A,20/05/1986,39,16/01/2012,,13,GRUPO 1 (R),3090,REFERENTES,9,3,3
TRB-0000024,No activo,Hombre,COMPLETA,SENEGAL,EXPATRIADO,Grado Universitario,SOLTERO/A,07/04/1977,48,11/06/2012,21/02/2021,8,GRUPO 2.2,2445,TECNICAS,18,1,2
TRB-0000025,Activo,Mujer,COMPLETA,SENEGAL,EXPATRIADO,Máster,SOLTERO/A,24/08/1984,41,27/01/2014,,11,GRUPO 2.2,2675,TECNICAS,8,2,3
TRB-0000026,Activo,Mujer,COMPLETA,MAGREB,EXPATRIADO,Máster,CASADO,01/01/1983,42,10/02/2014,,11,GRUPO 2.1 (R),2831,REFERENTES,8,2,2
TRB-0000027,Activo,Hombre,COMPLETA,EL SALVADOR,EXPATRIADO,Máster,SOLTERO/A,29/12/1971,54,23/03/2015,,10,GRUPO 2.2,2675,TECNICAS,11,1,4
TRB-0000029,No activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,22/04/1982,43,02/03/2015,24/06/2021,6,GRUPO 2.2,2445,TECNICAS,11,1,1
TRB-0000030,No activo,Hombre,PARCIAL,SANTANDER,ESPAÑA,Grado Universitario,SOLTERO/A,09/06/1991,34,26/10/2015,26/11/2020,5,GRUPO 3.1,2195,TECNICAS,5,1,1
TRB-0000031,Activo,Hombre,PARCIAL,ADMINISTRACION,ESPAÑA,Grado Universitario,SOLTERO/A,24/08/1993,32,03/04/2018,,7,GRUPO 2.2,2498,ADMINISTRACION,11,2,2
TRB-0000032,Activo,Mujer,COMPLETA,VALENCIA,ESPAÑA,Máster,SOLTERO/A,05/05/1985,40,08/02/2016,,9,GRUPO 2.2 (R),2809,REFERENTES,7,2,3
TRB-0000033,Activo,Mujer,COMPLETA,VALENCIA,ESPAÑA,Máster,SOLTERO/A,26/04/1983,42,06/09/2018,,7,GRUPO 2.2,2498,TECNICAS,10,2,3
TRB-0000034,Activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,CASADO,21/08/1984,41,06/09/2016,,9,GRUPO 2.1 (R),3007,REFERENTES,13,2,3
TRB-0000035,No activo,Mujer,COMPLETA,MERIDA,ESPAÑA,Grado Superior,SOLTERO/A,18/12/1973,52,12/07/2016,30/05/2021,4,GRUPO 3.1,2195,TECNICAS,8,1,2
TRB-0000036,No activo,Hombre,COMPLETA,BARCELONA,ESPAÑA,Máster,SOLTERO/A,07/12/1992,33,14/11/2017,03/09/2021,3,GRUPO 2.1,2562,TECNICAS,17,2,3
TRB-0000037,No activo,Mujer,COMPLETA,SENEGAL,ESPAÑA,Máster,SOLTERO/A,24/07/1986,39,20/08/2018,19/09/2021,3,GRUPO 3.2,2012,TECNICAS,6,1,3
TRB-0000038,No activo,Hombre,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Grado Universitario,CASADO,26/08/1972,53,03/10/2018,30/05/2019,0,GRUPO 3.2,2012,TECNICAS,16,0,3
TRB-0000039,Activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Grado Universitario,SOLTERO/A,03/09/1991,34,28/11/2016,,9,GRUPO 2.2 (R),2684,REFERENTES,9,2,4
